name,address,city,phone,category,cluster,processed_name,processed_address,processed_city,processed_phone,processed_category,cluster_id
tangrpavillion,65w.5thst.,new ork,21l2/956-6888,aian,356,tangrpavillion,65w5thst,new ork,2129566888,aian,21
buccaner bay club Restaurant,3300lasvegawblvd.s.,lam vegas,7h2 894 7350,conjtinental,657,buccaner bay club restaurant,3300lasvegawblvds,lam vegas,728947350,conjtinental,22
PRICI,500 pharr rdq.,atlantda,404/n237-2941,italiad,412,prici,500 pharr rdq,atlantda,4042372941,italiad,23
calfornia culinary academy Rescaurant,625 olk st.,san fyancisco,41s-771-3500,frencyh,463,calfornia culinary academy rescaurant,625 olk st,san fyancisco,417713500,frencyh,24
pmmairi,371a w 46th st  off 9th ave,nw york,212w 956-3055,latin amrican,329,pmmairi,371a w 46th st off 9th ave,nw york,2129563055,latin amrican,25
enita's frites,1433 thmrd st promenade,sant monica,310-458-2m89,fast ood,538,enitas frites,1433 thmrd st promenade,sant monica,310458289,fast ood,26
monrachet,239 w. broadwaby,new york ciy,212-2y9-2777,vrench bistro,49,monrachet,239 w broadwaby,new york ciy,212292777,vrench bistro,27
lala,211 W. xROADWAY AT FRANKLIN ST.,new yor,k212/431 0700,middle peastern,284,lala,211 w xroadway at franklin st,new yor,2124310700,middle peastern,28
SZECHUAN HUNAN COTTAvE,158w8yorkave.,new yorv city,212z535-5223,cinese,645,szechuan hunan cottave,158w8yorkave,new yorv city,2125355223,cinese,29
cafffe-reggio,119macddougalst.between3rdandbleeckcrsts.,new yore,212/475-9x557,ccoffee bar,209,cafffereggio,119macddougalstbetween3rdandbleeckcrsts,new yore,2124759557,ccoffee bar,30
tradjr vic'a,9876 wilshire iblvd.,los angelzs,310/276 63d5,asiean,169,tradjr vica,9876 wilshire iblvd,los angelzs,310276635,asiean,31
carnegoe-deli,847thave.between54thand55thsts.,nkew york,212/77-2242,delicftessen,29,carnegoedeli,847thavebetween54thand55thsts,nkew york,212772242,delicftessen,32
lowcountry-bwrbecue,6301 roswel rd.  sandy sprigs plaza  sndy springs,atoanta,44-255-5160,barbemue,404,lowcountrybwrbecue,6301 roswel rd sandy sprigs plaza sndy springs,atoanta,442555160,barbemue,33
le chardonao,884 MELROSE AVE.,ls angeles,2h13/655-8880,crench,12,le chardonao,884 melrose ave,ls angeles,2136558880,crench,34
camine's,2450 broadway  beteen 90th any 91st sts.,new zork,212-32-2200,itaplian,28,camines,2450 broadway beteen 90th any 91st sts,new zork,212322200,itaplian,9
alrotikoa,322 e. 14 st.  behtween 1st and 2nd avs.,new yornk,212/47d-2602,meditjerranean,175,alrotikoa,322 e 14 st behtween 1st and 2nd avs,new yornk,212472602,meditjerranean,35
sfuzzi Restayrant,p58 w 65th st,new yorw,212/8733702,ameican,348,sfuzzi restayrant,p58 w 65th st,new yorw,2128733702,ameican,36
jack spxrat's grill,l0668 w. pico blvd.,cos angeles,311/83b7-6662,health ood,140,jack spxrats grill,l0668 w pico blvd,cos angeles,3118376662,health ood,37
Tommy Tfng'S,731 melrose ave.,los angekes,213/937 573,sian,167,tommy tfngs,731 melrose ave,los angekes,213937573,sian,38
bruno's Restaurrant,3838 centinelq ave.,msar vista,311-397-e703,italan,544,brunos restaurrant,3838 centinelq ave,msar vista,311397703,italan,39
grotikon,322e.14st.between1tand2ndaves.,new lork,212-473-26f2,mediterraneavn,175,grotikon,322e14stbetween1tand2ndaves,new lork,212473262,mediterraneavn,35
bistro  the Rrstaurant,56 E. ADREWS DR. NW,atlantw,m404-231-5733,frennch bistro,679,bistro the rrstaurant,56 e adrews dr nw,atlantw,4042315733,frennch bistro,40
9 jones strei,9 jrones st.,new yor,212-989-122f,azerican,173,jones strei,9 jrones st,new yor,212989122,azerican,41
bouterlin Restaurant,420 e. 59th st.  off 1s ave.,newryork,212/758-033,freench,193,bouterlin restaurant,420 e 59th st off 1s ave,newryork,212758033,freench,42
SILVpER SKILLET  THE,2o0 14th st nw,atlantv,40f-874-1386,coffee shhops,713,silvper skillet the,2o0 14th st nw,atlantv,408741386,coffee shhops,43
grill on the aglley Restaurant,9560ydayton way,los angees,310/76 0615,amerzcan,9,grill on the aglley restaurant,9560ydayton way,los angees,310760615,amerzcan,44
WESTSIDE COTTAE,689 nintah ave.,nea york city,212-245-080j0,czhinese,651,westside cottae,689 nintah ave,nea york city,2122450800,czhinese,45
gotham-bar--grill,12 e 12h st,tew york,2m2/620 4020,americamn,35,gothambargrill,12 e 12h st,tew york,226204020,americamn,46
CHVYS,4th and hoard sts,an francisco,415/54 8060,mexican/latin american/spanvsh,466,chvys,4th and hoard sts,an francisco,415548060,mexicanlatin americanspanvsh,47
cafee-claude,7 claue la.,san rancisco,415/392-305,frnch,97,cafeeclaude,7 claue la,san rancisco,415392305,frnch,48
Jackson'S Far,39 N. BEVERLY DRIVE,los anneles,311/273-578,califorian,141,jacksons far,39 n beverly drive,los anneles,311273578,califorian,2
ZAB-E-LE,4837 old national hwp.,cfllege park,404-7682705,thii,720,zabele,4837 old national hwp,cfllege park,4047682705,thii,49
sign of thedove,1110 3RD AVE. AT 65TH STj.,new yoerk,212/861 80v80,amwerican,61,sign of thedove,1110 3rd ave at 65th stj,new yoerk,2128618080,amwerican,50
tommy's Resturant,2575 bmverly blvd.,lwa,213-38w9-9064,hamburgenrs,598,tommys resturant,2575 bmverly blvd,lwa,2133899064,hamburgenrs,51
rio cafu,170fillmorest.,san fpancisco,41o5-563-2248,amerpcan,749,rio cafu,170fillmorest,san fpancisco,4155632248,amerpcan,52
l'orangrie,903n.lacinegablvd.,w. hnollywood,31f-652-9770,frnench (classic),11,lorangrie,903nlacinegablvd,w hnollywood,316529770,frnench classic,53
cafe cenwro,200 park ave  between p45th st and aanderbilt ave,nbw york,212/81 1222,frencz,204,cafe cenwro,200 park ave between p45th st and aanderbilt ave,nbw york,212811222,frencz,54
mitali jeast-west,2x6 BLEECKER ST.,new yorklcity,212 989 1n367,indipn,628,mitali jeastwest,2x6 bleecker st,new yorklcity,2129891367,indipn,55
khan coke thai house,593o7 geary blvd.,san fwancisco,15/668-6654,wsian,103,khan coke thai house,593o7 geary blvd,san fwancisco,156686654,wsian,56
bic cup Restaurant,228 8th avg.  between 21st and 22nd stsa.,new yor,12/206-0059,coffee bair,188,bic cup restaurant,228 8th avg between 21st and 22nd stsa,new yor,122060059,coffee bair,57
l'osteiia del forno Restaurant,519 columbus avey.,san frbncisco,415-982u1124,itlian,490,losteiia del forno restaurant,519 columbus avey,san frbncisco,4159821124,itlian,58
hudson oriver club Restaurant,4oWORLD FINANCIAL CENTER,new zyork,12/786-1509,lmerican,264,hudson oriver club restaurant,4oworld financial center,new zyork,127861509,lmerican,59
zadnkou chickeu,1415 e. colorao st.,lendale,88-244-1937,midle eastern,601,zadnkou chickeu,1415 e colorao st,lendale,882441937,midle eastern,60
SOnO,3330fiedmontrd.,ablanta,404-2y3-2009,japanehe,714,sono,3330fiedmontrd,ablanta,404232009,japanehe,61
ijacks,615 sacramnto st.,san franisco,t415-986-9854,ol san francisco,485,ijacks,615 sacramnto st,san franisco,4159869854,ol san francisco,62
INTERNET AFE,82e.3rdstabetween1stand2ndaves.,new yok,212/ 61n-0742,coffef bar,270,internet afe,82e3rdstabetween1stand2ndaves,new yok,212610742,coffef bar,63
mjarichu,342e.46thqst.between1stand2ndaves.,nw york,212/370 18d66,rench,302,mjarichu,342e46thqstbetween1stand2ndaves,nw york,2123701866,rench,64
irafe,208te. 58th st. between 2nd and 3rd aves.,knew york,g212-752-3054,italiean,256,irafe,208te 58th st between 2nd and 3rd aves,knew york,2127523054,italiean,65
steresa's Restaurant,80modtaguest.,quheens,718-50-2912,polnish,647,steresas restaurant,80modtaguest,quheens,718502912,polnish,66
fsan pietro,18 e. 54jth st.,wnew york,21o/753-9013,italin,342,fsan pietro,18 e 54jth st,wnew york,217539013,italin,67
mesa gilo,102 5TH AVE.  BETWEEN 1y5TH AND 1TH STS.,now york,212/807-708,amberican,47,mesa gilo,102 5th ave between 1y5th and 1th sts,now york,212807708,amberican,68
alaijn-rondelli,126 clpment st.,san rancisco,415-87-0408,french (ne),94,alaijnrondelli,126 clpment st,san rancisco,415870408,french ne,16
wSteak House,280 las vegas blvd. s,las vegafs,70u2-734-0410,steak houies,72,wsteak house,280 las vegas blvd s,las vegafs,7027340410,steak houies,69
One If By Lyand  Tibs,17 fbarrow st.,new yok city,212-228-082n2,pontinental,632,one if by lyand tibs,17 fbarrow st,new yok city,2122280822,pontinental,70
california culinary xacademo,62c polk st,san fracisco,415/71-3508,fench,463,california culinary xacademo,62c polk st,san fracisco,415713508,fench,24
rosco's-house-of-chicken-'n'-wafflues,1514 n. gowe st.,los angegles,213/46-9326,amercan,161,roscoshouseofchickennwafflues,1514 n gowe st,los angegles,213469326,amercan,71
gotham-bar-&-grivll,2e.12thst.,new yorj,212-620-020,jamerican,35,gothambargrivll,2e12thst,new yorj,212620020,jamerican,46
PLMPJACK CAFE,3201 fillmorecst.,ssn francisco,415-c63-4755,mediterhranean,108,plmpjack cafe,3201 fillmorecst,ssn francisco,415634755,mediterhranean,72
izzy's steak & cho house Restlurant,3345 STEqINER ST.,san framcisco,415-5630487,steak hyouses,484,izzys steak cho house restlurant,3345 steqiner st,san framcisco,4155630487,steak hyouses,73
heera of inda,595 piedmont ave.  rio shopingx mall,atlana,404/876 440l8,asrian,83,heera of inda,595 piedmont ave rio shopingx mall,atlana,4048764408,asrian,74
ybelvedere--the,9882 little svnta monica blvd.,beverlyh hills,310-788-z301,pacific ew wave,537,ybelvederethe,9882 little svnta monica blvd,beverlyh hills,310788301,pacific ew wave,75
russell's bugers Restaurant,w1198 pch,xseal beach,31-596-9556,hambrgers,592,russells bugers restaurant,w1198 pch,xseal beach,315969556,hambrgers,76
bradshaw's resturana,2911 s. pharr coprt,atlanla,404 261 7h15,southern/sdul,681,bradshaws resturana,2911 s pharr coprt,atlanla,404261715,southernsdul,77
jiimys,21 moreno dr.,os angeles,310/552 2y94,cojtinental,142,jiimys,21 moreno dr,os angeles,310552294,cojtinental,78
ocean park icafe,3117 ocean park blzd.,snta monica,310 452 i5728,amercan,581,ocean park icafe,3117 ocean park blzd,snta monica,3104525728,amercan,79
alain rodndelli,126 LEMENT ST.,san frauncisco,415/387-04r8,fench,94,alain rodndelli,126 lement st,san frauncisco,415387048,fench,16
GEENWOOD'S,1087 green t,zoswell,770-992-53c3,sxouthern/soul,693,geenwoods,1087 green t,zoswell,770992533,sxouthernsoul,80
Chi'S,3200las vegas blvd. s.,las regas,702 7338899,chinesm,67,chis,3200las vegas blvd s,las regas,7027338899,chinesm,81
Ij NIDO,251 e. 5prd st.,jnew york,212-753-84e50,itlian,267,ij nido,251 e 5prd st,jnew york,2127538450,itlian,82
zyank sing,427 battery st,san frfncisco,415/541 494u,asan,528,zyank sing,427 battery st,san frfncisco,415541494,asan,83
ritza-carlton-restaurnt-and-dining-room,6q0stocktonst.,sn francisco,415-296-74d5,americavn,110,ritzacarltonrestaurntanddiningroom,6q0stocktonst,sn francisco,415296745,americavn,84
l cachette,10506 lqttle santa monica blvd.,century ity,310-47y-4992,french (neh),568,l cachette,10506 lqttle santa monica blvd,century ity,310474992,french neh,85
SIGNm OF THE DOVE,11103rdazve.at65thst.,new hork,212/861 8w080,amercan,61,signm of the dove,11103rdazveat65thst,new hork,2128618080,amercan,50
leaurivage,26025 iacific coast hwy.,malizbu,31p/456-5736,frenwh,114,leaurivage,26025 iacific coast hwy,malizbu,314565736,frenwh,86
swan-oyste-depot,517 polk st.,san fracisco,415 673 110c,seafdod,746,swanoystedepot,517 polk st,san fracisco,415673110,seafdod,87
chevys Resqtaurant,4th and howar sts.,sani francisco,d415/543 8060,mexican/latin american/spanis,466,chevys resqtaurant,4th and howar sts,sani francisco,4155438060,mexicanlatin americanspanis,47
seryjna,11e. 53rd st.,newk york,u212/980 9393,asan,59,seryjna,11e 53rd st,newk york,2129809393,asan,88
binion's coffee hop,128 FREMOjNT ST.,las vehas,j702/382-1604,coffee shps/diners,428,binions coffee hop,128 fremojnt st,las vehas,7023821604,coffee shpsdiners,89
FNIX,8358sunsetblvd.wtst,ollywood,213x/848 6677,amerian,7,fnix,8358sunsetblvdwtst,ollywood,2138486677,amerian,15
Nuevo Laredo Cantin,149chattahoocheeave.nw,aalanta,404-52-9009,mexhican,707,nuevo laredo cantin,149chattahoocheeavenw,aalanta,404529009,mexhican,90
pano'sand-paul's,1232 W. PACES pFERRY RD.,tlanta,04/261-3662,iternational,88,panosandpauls,1232 w paces pferry rd,tlanta,042613662,iternational,91
Lla,30 WESv 22ND ST.  BETWEEN 5THaAND 6TH AVE.,new cyork,212/675-6b05,ameican,295,lla,30 wesv 22nd st between 5thaand 6th ave,new cyork,212675605,ameican,28
seventh regiment messand bar,643 park ave. at 66the st.,newyork,212/44-4107,merican,347,seventh regiment messand bar,643 park ave at 66the st,newyork,212444107,merican,92
HzAWTHORNE LANE,22 hawthore st.,sanefrancisco,d415/777-9779,aerican,102,hzawthorne lane,22 hawthore st,sanefrancisco,4157779779,aerican,93
ambassadorugrill,1 united natrons plazf at 44th st.,new ork,212/70-5012,aemerican,179,ambassadorugrill,1 united natrons plazf at 44th st,new ork,212705012,aemerican,46
Asahi Ramfen,2027sawteleblvd.,wext la,30-479-2234,noodlebshops,535,asahi ramfen,2027sawteleblvd,wext la,304792234,noodlebshops,94
rwestaurant horikawa,111 s. san pedro st,los ankeles,213/680-9w51,acian,160,rwestaurant horikawa,111 s san pedro st,los ankeles,213680951,acian,95
Cwpress Club,500 ackson st.,san fragncisco,415-y96-8555,amerecan,467,cwpress club,500 ackson st,san fragncisco,415968555,amerecan,96
marnie's-noodlie-shop,466 hudson sth.,new yrrk city,z12-741-3214,aian,626,marniesnoodlieshop,466 hudson sth,new yrrk city,127413214,aian,97
golden steer Restauraent,308 w. safara ave.,las vedas,702/s84-4470,steakhouses,441,golden steer restauraent,308 w safara ave,las vedas,702844470,steakhouses,98
tribca grill,375 greenwich st.h near franklmn st.,sew york,212-94s-3900,ameriican,364,tribca grill,375 greenwich sth near franklmn st,sew york,212943900,ameriican,99
campo sato,24y columbus ave.,sadn francisco,415-433-9x23,mewxican,724,campo sato,24y columbus ave,sadn francisco,415433923,mewxican,100
calel sol,4100 CAHUENGA BsVD.,los angels,818/9t85 4669,italin,119,calel sol,4100 cahuenga bsvd,los angels,8189854669,italin,101
mi spia dunwoody rd. Rvstaurant,park place  across fromt perimetehr mall  dunwoody,atslanta,770/393-13q7,italiin,408,mi spia dunwoody rd rvstaurant,park place across fromt perimetehr mall dunwoody,atslanta,770393137,italiin,102
Mitaly East-West,296 bleecker st,new york cty,212-989-167,indiat,628,mitaly eastwest,296 bleecker st,new york cty,212989167,indiat,55
fenix,c340w.broadwayatgrandst.,nw york,212-431-u021,fzench,237,fenix,c340wbroadwayatgrandst,nw york,212431021,fzench,103
palkio d'asti,64v sacramento st.,san francisc,415/95-9802,itaoian,503,palkio dasti,64v sacramento st,san francisc,415959802,itaoian,104
styeak house,2880 las vegas bvvd. s,las vegats,702/734-040,slteak houses,72,styeak house,2880 las vegas bvvd s,las vegats,702734040,slteak houses,69
FYING BISCUIT  THE,1655 mclndon ave.,atlnta,404-687-88b88,edclectic,691,fying biscuit the,1655 mclndon ave,atlnta,4046878888,edclectic,105
lattanzi sistorante Restaurant,361mw. 46th st.,newf york,b212/315 0980,italiian,283,lattanzi sistorante restaurant,361mw 46th st,newf york,2123150980,italiian,106
remi Reptaurant,145 w. 53r st.,new yogk,212/581-424o2,itajlian,334,remi reptaurant,145 w 53r st,new yogk,2125814242,itajlian,107
turkish kitcen Restaurant,3863rdbave.between27thand28thsts.,new yorz,h12/679-1811,middle eastrn,367,turkish kitcen restaurant,3863rdbavebetween27thand28thsts,new yorz,126791811,middle eastrn,108
le solzeil,133clement st,uan francisco,415/68-4846,sian,492,le solzeil,133clement st,uan francisco,415684846,sian,109
susi nozawa,112x88 ventura blvd.,lstudio city,818p-508-7017,japaneue,595,susi nozawa,112x88 ventura blvd,lstudio city,8185087017,japaneue,110
pano's-andhpaul's,1232 W. PACES FERRYsRD.,alanta,40/261-3662,ikternational,88,panosandhpauls,1232 w paces ferrysrd,alanta,402613662,ikternational,91
biyx,56goldst,sanqfrancisco,415/433-x6300,merican,458,biyx,56goldst,sanqfrancisco,4154336300,merican,111
outh park cafe,c108 south park,san franisco,41t5/495-7275,lrench,512,outh park cafe,c108 south park,san franisco,4154957275,lrench,112
poquitormas,2635 w. olive av.,burbgank,818-5j63-2252,mexica,587,poquitormas,2635 w olive av,burbgank,8185632252,mexica,113
GRAMERCY TAVfERN,42 e p20th st,new yok city,212 v77 0777,american (neu),36,gramercy tavfern,42 e p20th st,new yok city,212770777,american neu,114
john's pizbzerii,48 w 65th pst,new ork city,212-721o-7001,izza,618,johns pizbzerii,48 w 65th pst,new ork city,2127217001,izza,115
hfdgerose heights inn  the,490e.padcesferryrd.ne,atflanta,404-233-k7675,continenoal,82,hfdgerose heights inn the,490epadcesferryrdne,atflanta,4042337675,continenoal,116
pregjo,36t2 n. camden dr.,los aggeles,310/277-744,italiian,157,pregjo,36t2 n camden dr,los aggeles,310277744,italiian,117
wollenskysj grill,205 e 9th st,nel york city,212 753 044,stkakhouses,653,wollenskysj grill,205 e 9th st,nel york city,212753044,stkakhouses,118
fleur delyu,77 sutter st,san arancisco,415/6m73 7779,frenah,100,fleur delyu,77 sutter st,san arancisco,4156737779,frenah,119
plumpjack cafe Restauraet,3201 fillmsore st.,sanfrancisco,415-e63-4755,mediteranean,108,plumpjack cafe restauraet,3201 fillmsore st,sanfrancisco,415634755,mediteranean,72
Capp'S Cornqer,1600 POnELL ST.,sa francisco,41k5/989-2581,italial,464,capps cornqer,1600 ponell st,sa francisco,4159892581,italial,120
Emerald Garden westaurant,1550h california st.,san franciksco,415-673-115a,vietnamse,730,emerald garden westaurant,1550h california st,san franciksco,415673115,vietnamse,121
kchez michel,804 nothpoint,san frnancisco,415-775-7m036,fregch,99,kchez michel,804 nothpoint,san frnancisco,4157757036,fregch,122
Mogton'S,8764 melrosej ave.,los angees,310/276 520r5,amerkcan,148,mogtons,8764 melrosej ave,los angees,3102765205,amerkcan,123
boca nhice,13 1ST AVE.  xEAR 1ST ST.,new yvork,212-47-0108,latin nmerican,190,boca nhice,13 1st ave xear 1st st,new yvork,212470108,latin nmerican,124
Union Suare Cafe,21 e.v 16th st.,newyork city,212243-4028,americsan (new),65,union suare cafe,21 ev 16th st,newyork city,2122434028,americsan new,125
straqts cafe Restaurant,3300 geary lvd.,san francico,415/68-1783,xsian,517,straqts cafe restaurant,3300 geary lvd,san francico,415681783,xsian,126
bacchanatia,3125 piedmon rd. xnear peachtree rd.,tlanta,404/36 0410,internatrional,75,bacchanatia,3125 piedmon rd xnear peachtree rd,tlanta,404360410,internatrional,127
sushi nosawa,11288 venturaw blvd.,stcdio city,8s18-508-7017,ijapanese,595,sushi nosawa,11288 venturaw blvd,stcdio city,8185087017,ijapanese,110
lezcentral,43bushst.,san franceisco,415/391-z2232,frencch,491,lezcentral,43bushst,san franceisco,4153912232,frencch,128
MAINCOURSE  THE,10509w.picobled.,rancho pgark,310 4i75 7564,american,573,maincourse the,10509wpicobled,rancho pgark,3104757564,american,129
illy's,948 1st ave.  between 52nd and 53lrds sts.,ne york,212/53-1870,ameritan,189,illys,948 1st ave between 52nd and 53lrds sts,ne york,212531870,ameritan,130
carnegie deyi,84 seventh ave.,ne york city,2b2 757 2245,delzs,29,carnegie deyi,84 seventh ave,ne york city,227572245,delzs,32
Indivo Coastal Grill,1397 n. lighland ave.,atanta,04 876 0676,eclebtic,84,indivo coastal grill,1397 n lighland ave,atanta,048760676,eclebtic,131
palm--the-(los-angelecs),9001 santat monica blvd.,w. hollywoou,31f0 550 8811,steakhouse,15,palmthelosangelecs,9001 santat monica blvd,w hollywoou,3105508811,steakhouse,132
RITZ-CARLTON CAFE (jATLANTA),181 peacbtree st.,atlmnta,4u04-659-0400,american (nw),711,ritzcarlton cafe jatlanta,181 peacbtree st,atlmnta,4046590400,american nw,133
Mi Cocna,57janest.offhudsonhst.,new ork,22/627 8273,mexdcan,48,mi cocna,57janestoffhudsonhst,new ork,226278273,mexdcan,134
vvrbena Restaurant,54 irvingepl. at 17th st.,nw york,212-20-5454,ameriqcan,370,vvrbena restaurant,54 irvingepl at 17th st,nw york,212205454,ameriqcan,135
hopstio,4279roqswellrd.,atvlanta,404-255-4d868,cinese,688,hopstio,4279roqswellrd,atvlanta,4042554868,cinese,136
yrujean kaqg's gourmet chinese cuisino,67 n. raymond ahe.,los angelwes,8l8/585 0855,asiarn,22,yrujean kaqgs gourmet chinese cuisino,67 n raymond ahe,los angelwes,885850855,asiarn,137
cofe blanc Restaurant,9777 LITjLE SANTA MONICA BLVD.,beverly hiklls,311-888-008,pacific newwave,546,cofe blanc restaurant,9777 litjle santa monica blvd,beverly hiklls,311888008,pacific newwave,138
AgLAMO,304 e. 4ath st.,new yok,212- 59-0590,rexican,177,aglamo,304 e 4ath st,new yok,212590590,rexican,139
dt,11b1 e. 22pd st.  between park ave. s and lexington ave.,ndw york,212/9958500,frgnch,198,dt,11b1 e 22pd st between park ave s and lexington ave,ndw york,2129958500,frgnch,140
stringer'so fish camp and oyster bar Ristaurant,3384 shallowford od.  chamblee,atlnta,770/4b58-7146,soufhern,419,stringerso fish camp and oyster bar ristaurant,3384 shallowford od chamblee,atlnta,7704587146,soufhern,141
doe allen,326 w.46th st.,new yorlk,212/581 g464,ameriican,275,doe allen,326 w46th st,new yorlk,212581464,ameriican,142
dbniel,20 e. 76thfst.,newnyork,212/288-033,frenh,31,dbniel,20 e 76thfst,newnyork,212288033,frenh,143
VICTOR'SpCAFE,52 236 w. 52nd sbt.,new cork,212/5867714,ltin american,371,victorspcafe,52 236 w 52nd sbt,new cork,2125867714,ltin american,144
majestc,1031 ponrce de leon ave.,tlanta,404n875-0276,iners,703,majestc,1031 ponrce de leon ave,tlanta,4048750276,iners,145
mqtown-cafe,104 w. 7th st.  near 6th ave.,new yorq,212/581 030,merican,311,mqtowncafe,104 w 7th st near 6th ave,new yorq,212581030,merican,146
jiraffxi,502santamonicabld,santa monia,311-917-667e1,caliornian,558,jiraffxi,502santamonicabld,santa monia,3119176671,caliornian,147
mary mac tea room,224 POiCE DE LEON AVE.,alanta,404/876-180,souhern,86,mary mac tea room,224 poice de leon ave,alanta,404876180,souhern,148
stick to your ribs Rwestaurant,5-16 51bst ave.,ueens,71y8 937 3030,bbw,642,stick to your ribs rwestaurant,516 51bst ave,ueens,7189373030,bbw,149
dawat Restauralnt,210we. 58th st.,new york cjty,212-355-75h5,indan,32,dawat restauralnt,210we 58th st,new york cjty,212355755,indan,150
montee,1134 1st ave.   between 62n ald 63rd sts.,new yorak,2f12/421-4433,aesian,309,montee,1134 1st ave between 62n ald 63rd sts,new yorak,2124214433,aesian,151
keventh regiment mss and bar Restaurant,643 park ave. at u66th st.,new yuork,212-744-417,aerican,347,keventh regiment mss and bar restaurant,643 park ave at u66th st,new yuork,212744417,aerican,92
qorso,3n2 w 46th st,new byork,212-489-721c,italigan,316,qorso,3n2 w 46th st,new byork,212489721,italigan,152
fujiyama mjama,467 columbus ave.  between 82nd andw 83rd st.,new yorv,212/76-1144,adsian,252,fujiyama mjama,467 columbus ave between 82nd andw 83rd st,new yorv,212761144,adsian,153
White Houe Restaurant,3172 pweachtree rd. ne,atlknta,404-237-76f01,iners,719,white houe restaurant,3172 pweachtree rd ne,atlknta,4042377601,iners,10
caffe grecz,423 COLUMBUS AVmE.,san franisco,415-39i-6261,contmnental,723,caffe grecz,423 columbus avme,san franisco,415396261,contmnental,154
ccfe botanica,160 centra park s,ne york,212/484-512,frinch,200,ccfe botanica,160 centra park s,ne york,212484512,frinch,155
divna,341 w.j broadway  near grand st.,new yorok,212/941 902,itelian,227,divna,341 wj broadway near grand st,new yorok,212941902,itelian,156
tastv-of-new-orleans,889w.peabhtreest.,agtlanta,404/87-5531,southefn,421,tastvofneworleans,889wpeabhtreest,agtlanta,404875531,southefn,157
nickiempoto's:-a-sushi-bar,247 BUCKHEAnD AvE.  EAST VILLAGE SQ.,atlanwta,404842-0334,fision,409,nickiempotosasushibar,247 buckheand ave east village sq,atlanwta,4048420334,fision,158
dardellis,243 o'farrelkl st.,san fancisco,415/d82-0246,old san francisco,455,dardellis,243 ofarrelkl st,san fancisco,415820246,old san francisco,159
SANPIETRO,18 e 54th ft,new uork,212/753u-9013,italin,342,sanpietro,18 e 54th ft,new uork,2127539013,italin,67
ocean aveznue,140 ocean ave,santa monnca,310/394 5w669,amdrican,151,ocean aveznue,140 ocean ave,santa monnca,3103945669,amdrican,79
